Plot,Location,Year,Type,Rep,Block,Row,Col,DIISet,Female,FemaleGeno,Male,MaleGeno,Entry,Geno,Check?,Stand count,PlantHt,EarHt,Flavor,Tenderness,Husk,Tip,Width,Length,Pollen,Silk
1101,WMARS,2015,,1,1,1,1,3,23,We09418,35,We12401,110,We09418 x We12401,,11,140,45,4,4,,,,,58,
1102,WMARS,2015,,1,1,1,2,,,,,,141,Ambrosia,Check,4,150,55,3,4,,,,,62,
1103,WMARS,2015,,1,1,1,3,3,16,We08411,27,We1095407-4,93,We08411 x We1095407-4,,18,175,70,3,2,,,,,61,
1104,WMARS,2015,,1,1,1,4,,,,,,143,Temptation,Check,20,150,60,2,3,,,,,58,
1105,WMARS,2015,,1,1,1,5,,,,,,37,Wu04819,,13,105,50,2,3,,,,,66,
1106,WMARS,2015,,1,1,1,6,2,33,We11409,29,We11403,89,We11409 x We11403,,17,165,80,2,3,,,,,62,
1107,WMARS,2015,,1,1,1,7,1,7,We05401,32,We11408,55,We05401 x We11408,,11,145,50,3,3,,,,,60,
1108,WMARS,2015,,1,1,1,8,3,18,We08417,10,We06409b,96,We08417 x We06409b,,24,150,80,2,3,,,,,62,
1109,WMARS,2015,,1,1,1,9,2,1,We01403,5,We03418b,66,We01403 x We03418b,,23,170,70,4,3,,,,,60,
1110,WMARS,2015,,1,1,1,10,2,9,We05410,19,We08421a,73,We05410 x We08421a,,18,145,55,3,3,,,,,59,
1111,WMARS,2015,,1,1,2,10,2,1,We01403,29,We11403,69,We01403 x We11403,,17,180,85,3,3,,,,,65,
1112,WMARS,2015,,1,1,2,9,4,39,Wu10802R,24,We09423a,125,Wu10802R x We09423a,,19,165,70,1,3,,,,,60,
1113,WMARS,2015,,1,1,2,8,1,4,We03418a,17,We08413,47,We03418a x We08413,,19,165,65,3,2,,,,,60,
1114,WMARS,2015,,1,1,2,7,2,15,We08408,14,We08407,82,We08408 x We08407,,22,150,50,3,3,,,,,58,
1115,WMARS,2015,,1,1,2,6,3,20,We09403,27,We1095407-4,103,We09403 x We1095407-4,,22,180,95,2,3,,,,,60,
1116,WMARS,2015,,1,1,2,5,,,,,,20,We09403,,23,105,45,4,4,,,,,61,
1117,WMARS,2015,,1,1,2,4,1,3,We02406,22,We09415,43,We02406 x We09415,,12,180,80,3,3,,,,,63,
1118,WMARS,2015,,1,1,2,3,,,,,,8,We05407,,13,95,30,4,3,,,,,59,
1119,WMARS,2015,,1,1,2,2,3,23,We09418,27,We1095407-4,108,We09418 x We1095407-4,,17,160,70,4,2,,,,,62,
1120,WMARS,2015,,1,1,2,1,,,,,,18,We08417,,21,105,55,1,2,,,,,64,
1121,WMARS,2015,,1,1,3,1,4,28,We11401,11,We06410,132,We11401 x We06410,,18,170,80,4,3,,,,,61,
1122,WMARS,2015,,1,1,3,2,4,39,Wu10802R,11,We06410,122,Wu10802R x We06410,,21,180,75,1,2,,,,,60,
1123,WMARS,2015,,1,1,3,3,1,36,Wu04806,6,We04401,61,Wu04806 x We04401,,20,175,60,2,2,,,,,60,
1124,WMARS,2015,,1,1,3,4,1,3,We02406,32,We11408,45,We02406 x We11408,,8,150,65,3,3,,,,,62,
1125,WMARS,2015,,1,1,3,5,3,20,We09403,10,We06409b,101,We09403 x We06409b,,18,155,65,2,4,,,,,61,
1126,WMARS,2015,,1,1,3,6,,,,,,29,We11403,,4,130,65,4,3,,,,,68,
1127,WMARS,2015,,1,1,3,7,,,,,,13,We07403b,,11,120,40,1,2,,,,,60,
1128,WMARS,2015,,1,1,3,8,,,,,,22,We09415,,10,160,70,2,3,,,,,65,
1129,WMARS,2015,,1,1,3,9,4,2,We02402,8,We05407,116,We02402 x We05407,,22,165,75,1,1,,,,,60,
1130,WMARS,2015,,1,1,3,10,,,,,,142,Who Gets Kissed?,Check,6,160,65,2,4,,,,,65,
1131,WMARS,2015,,1,1,4,10,2,33,We11409,14,We08407,87,We11409 x We08407,,17,155,75,4,3,,,,,63,
1132,WMARS,2015,,1,1,4,9,,,,,,35,We12401,,1,,,,,,,,,,
1133,WMARS,2015,,1,1,4,8,3,37,Wu04819,10,We06409b,111,Wu04819 x We06409b,,10,150,65,2,3,,,,,63,
1134,WMARS,2015,,1,1,4,7,4,31,We11407,11,We06410,137,We11407 x We06410,,16,160,70,2,2,,,,,60,
1135,WMARS,2015,,1,1,4,6,4,26,We1095407-2,13,We07403b,128,We1095407-2 x We07403b,,16,160,65,1,2,,,,,61,
1136,WMARS,2015,,1,1,4,5,2,12,We07403a,19,We08421a,78,We07403a x We08421a,,9,140,55,1,1,,,,,62,
1137,WMARS,2015,,1,1,4,4,1,38,Wu07812,32,We11408,60,Wu07812 x We11408,,17,145,50,2,2,,,,,60,
1138,WMARS,2015,,1,1,4,3,1,4,We03418a,6,We04401,46,We03418a x We04401,,9,160,55,2,2,,,,,64,
1201,WMARS,2015,,1,2,5,1,,,,,,34,We11416,,7,150,60,1,4,,,,,66,
1202,WMARS,2015,,1,2,5,2,,,,,,39,Wu10802R,,8,110,55,1,2,,,,,67,
1203,WMARS,2015,,1,2,5,3,2,33,We11409,19,We08421a,88,We11409 x We08421a,,18,160,65,2,2,,,,,67,
1204,WMARS,2015,,1,2,5,4,4,26,We1095407-2,11,We06410,127,We1095407-2 x We06410,,10,145,50,1,3,,,,,62,
1205,WMARS,2015,,1,2,5,5,2,12,We07403a,29,We11403,79,We07403a x We11403,,11,155,70,3,1,,,,,64,
1206,WMARS,2015,,1,2,5,6,,,,,,16,We08411,,19,90,25,3,2,,,,,62,
1207,WMARS,2015,,1,2,5,7,1,38,Wu07812,6,We04401,56,Wu07812 x We04401,,18,150,45,3,3,,,,,60,
1208,WMARS,2015,,1,2,5,8,4,2,We02402,24,We09423a,120,We02402 x We09423a,,17,170,60,1,2,,,,,61,
1209,WMARS,2015,,1,2,5,9,3,20,We09403,25,We09426,102,We09403 x We09426,,20,140,40,2,2,,,,,63,
1210,WMARS,2015,,1,2,5,10,4,39,Wu10802R,8,We05407,121,Wu10802R x We05407,,18,130,50,2,3,,,,,60,
1211,WMARS,2015,,1,2,6,10,4,28,We11401,24,We09423a,135,We11401 x We09423a,,15,180,70,1,3,,,,,62,
1212,WMARS,2015,,1,2,6,9,4,28,We11401,21,We09404,134,We11401 x We09404,,22,150,70,3,3,,,,,63,
1213,WMARS,2015,,1,2,6,8,3,37,Wu04819,27,We1095407-4,113,Wu04819 x We1095407-4,,22,175,65,2,2,,,,,64,
1214,WMARS,2015,,1,2,6,7,,,,,,17,We08413,,13,95,30,3,3,,,,,64,
1215,WMARS,2015,,1,2,6,6,3,37,Wu04819,35,We12401,115,Wu04819 x We12401,,10,150,60,3,3,,,,,64,
1216,WMARS,2015,,1,2,6,5,2,1,We01403,19,We08421a,68,We01403 x We08421a,,18,170,75,3,2,,,,,64,
1217,WMARS,2015,,1,2,6,4,3,18,We08417,30,We11406,99,We08417 x We11406,,21,150,60,3,2,,,,,62,
1218,WMARS,2015,,1,2,6,3,,,,,,15,We08408,,15,120,40,5,3,,,,,63,
1219,WMARS,2015,,1,2,6,2,,,,,,143,Temptation,Check,22,155,50,3,3,,,,,60,
1220,WMARS,2015,,1,2,6,1,1,7,We05401,6,We04401,51,We05401 x We04401,,19,130,40,4,4,,,,,59,
1221,WMARS,2015,,1,2,7,1,,,,,,5,We03418b,,8,100,30,5,3,,,,,64,
1222,WMARS,2015,,1,2,7,2,,,,,,11,We06410,,15,125,35,3,3,,,,,64,
1223,WMARS,2015,,1,2,7,3,2,15,We08408,5,We03418b,81,We08408 x We03418b,,16,150,45,4,3,,,,,59,
1224,WMARS,2015,,1,2,7,4,2,15,We08408,29,We11403,84,We08408 x We11403,,18,145,55,2,3,,,,,61,
1225,WMARS,2015,,1,2,7,5,2,12,We07403a,5,We03418b,76,We07403a x We03418b,,16,145,40,2,2,,,,,59,
1226,WMARS,2015,,1,2,7,6,3,18,We08417,35,We12401,100,We08417 x We12401,,8,145,55,2,3,,,,,64,
1227,WMARS,2015,,1,2,7,7,4,26,We1095407-2,21,We09404,129,We1095407-2 x We09404,,20,125,45,2,3,,,,,60,
1228,WMARS,2015,,1,2,7,8,4,2,We02402,21,We09404,119,We02402 x We09404,,18,150,55,1,3,,,,,64,
1229,WMARS,2015,,1,2,7,9,4,26,We1095407-2,24,We09423a,130,We1095407-2 x We09423a,,10,150,55,3,3,,,,,60,
1230,WMARS,2015,,1,2,7,10,1,3,We02406,6,We04401,41,We02406 x We04401,,9,145,55,2,2,,,,,65,
1231,WMARS,2015,,1,2,8,10,2,9,We05410,14,We08407,72,We05410 x We08407,,23,155,45,4,4,,,,,57,
1232,WMARS,2015,,1,2,8,9,1,4,We03418a,40,Wu10803R,49,We03418a x Wu10803R,,23,175,60,3,3,,,,,60,
1233,WMARS,2015,,1,2,8,8,3,16,We08411,10,We06409b,91,We08411 x We06409b,,20,145,60,4,3,,,,,60,
1234,WMARS,2015,,1,2,8,7,4,39,Wu10802R,13,We07403b,123,Wu10802R x We07403b,,19,150,60,1,3,,,,,59,
1235,WMARS,2015,,1,2,8,6,,,,,,141,Ambrosia,Check,4,150,55,4,3,,,,,63,
1236,WMARS,2015,,1,2,8,5,4,2,We02402,11,We06410,117,We02402 x We06410,,24,175,70,1,1,,,,,65,
1237,WMARS,2015,,1,2,8,4,1,36,Wu04806,17,We08413,62,Wu04806 x We08413,,21,135,40,1,3,,,,,60,
1238,WMARS,2015,,1,2,8,3,,,,,,142,Who Gets Kissed?,Check,10,160,55,3,4,,,,,64,
1301,WMARS,2015,,1,3,9,1,3,23,We09418,30,We11406,109,We09418 x We11406,,19,105,40,3,2,,,,,60,
1302,WMARS,2015,,1,3,9,2,1,7,We05401,22,We09415,53,We05401 x We09415,,13,150,45,3,3,,,,,61,
1303,WMARS,2015,,1,3,9,3,3,20,We09403,35,We12401,105,We09403 x We12401,,17,135,50,3,3,,,,,60,
1304,WMARS,2015,,1,3,9,4,2,9,We05410,34,We11416,75,We05410 x We11416,,16,165,55,4,4,,,,,60,
1305,WMARS,2015,,1,3,9,5,2,12,We07403a,34,We11416,80,We07403a x We11416,,23,160,65,1,3,,,,,60,
1306,WMARS,2015,,1,3,9,6,3,18,We08417,27,We1095407-4,98,We08417 x We1095407-4,,20,170,75,1,2,,,,,62,
1307,WMARS,2015,,1,3,9,7,4,28,We11401,13,We07403b,133,We11401 x We07403b,,23,170,65,2,2,,,,,62,
1308,WMARS,2015,,1,3,9,8,2,15,We08408,19,We08421a,83,We08408 x We08421a,,21,155,60,2,3,,,,,60,
1309,WMARS,2015,,1,3,9,9,4,39,Wu10802R,21,We09404,124,Wu10802R x We09404,,22,135,45,2,3,,,,,60,
1310,WMARS,2015,,1,3,9,10,2,33,We11409,34,We11416,90,We11409 x We11416,,19,170,65,2,3,,,,,62,
1311,WMARS,2015,,1,3,10,10,4,2,We02402,13,We07403b,118,We02402 x We07403b,,21,160,65,1,2,,,,,60,
1312,WMARS,2015,,1,3,10,9,4,28,We11401,8,We05407,131,We11401 x We05407,,14,165,70,1,3,,,,,58,
1313,WMARS,2015,,1,3,10,8,3,23,We09418,10,We06409b,106,We09418 x We06409b,,18,135,55,4,4,,,,,58,
1314,WMARS,2015,,1,3,10,7,,,,,,3,We02406,,6,135,45,3,3,,,,,67,
1315,WMARS,2015,,1,3,10,6,,,,,,143,Temptation,Check,23,155,60,3,4,,,,,56,
1316,WMARS,2015,,1,3,10,5,,,,,,26,We1095407-2,,4,125,45,2,3,,,,,60,
1317,WMARS,2015,,1,3,10,4,2,15,We08408,34,We11416,85,We08408 x We11416,,21,155,60,2,2,,,,,58,
1318,WMARS,2015,,1,3,10,3,1,38,Wu07812,17,We08413,57,Wu07812 x We08413,,25,140,55,1,3,,,,,58,
1319,WMARS,2015,,1,3,10,2,1,3,We02406,40,Wu10803R,44,We02406 x Wu10803R,,16,160,65,3,3,,,,,62,
1320,WMARS,2015,,1,3,10,1,3,16,We08411,25,We09426,92,We08411 x We09426,,17,150,50,3,2,,,,,60,
1321,WMARS,2015,,1,3,11,1,,,,,,6,We04401,,14,110,30,2,3,,,,,60,
1322,WMARS,2015,,1,3,11,2,,,,,,28,We11401,,21,150,60,3,2,,,,,67,
1323,WMARS,2015,,1,3,11,3,,,,,,36,Wu04806,,10,,,,,,,,,,
1324,WMARS,2015,,1,3,11,4,3,37,Wu04819,25,We09426,112,Wu04819 x We09426,,14,150,85,1,3,,,,,60,
1325,WMARS,2015,,1,3,11,5,,,,,,12,We07403a,,16,115,30,1,2,,,,,60,
1326,WMARS,2015,,1,3,11,6,3,20,We09403,30,We11406,104,We09403 x We11406,,25,150,50,3,3,,,,,60,
1327,WMARS,2015,,1,3,11,7,,,,,,31,We11407,,1,,,,,,,,,,
1328,WMARS,2015,,1,3,11,8,,,,,,141,Ambrosia,Check,16,160,60,3,3,,,,,60,
1329,WMARS,2015,,1,3,11,9,4,31,We11407,24,We09423a,140,We11407 x We09423a,,11,150,55,2,3,,,,,60,
1330,WMARS,2015,,1,3,11,10,2,12,We07403a,14,We08407,77,We07403a x We08407,,21,145,50,2,4,,,,,56,
1331,WMARS,2015,,1,3,12,10,3,16,We08411,35,We12401,95,We08411 x We12401,,22,140,60,4,3,,,,,59,
1332,WMARS,2015,,1,3,12,9,1,4,We03418a,22,We09415,48,We03418a x We09415,,19,160,65,3,3,,,,,61,
1333,WMARS,2015,,1,3,12,8,,,,,,7,We05401,,0,,,,,,,,,,
1334,WMARS,2015,,1,3,12,7,1,7,We05401,17,We08413,52,We05401 x We08413,,23,130,50,4,3,,,,,59,
1335,WMARS,2015,,1,3,12,6,4,31,We11407,8,We05407,136,We11407 x We05407,,16,140,50,4,4,,,,,57,
1336,WMARS,2015,,1,3,12,5,,,,,,10,We06409b,,3,70,35,3,3,,,,,63,
1337,WMARS,2015,,1,3,12,4,,,,,,2,We02402,,17,140,90,1,3,,,,,68,
1338,WMARS,2015,,1,3,12,3,,,,,,142,Who Gets Kissed?,Check,10,170,65,2,3,,,,,64,
1401,WMARS,2015,,1,4,13,1,1,36,Wu04806,32,We11408,65,Wu04806 x We11408,,18,150,60,2,3,,,,,60,
1402,WMARS,2015,,1,4,13,2,,,,,,9,We05410,,21,145,40,4,5,,,,,56,
1403,WMARS,2015,,1,4,13,3,1,36,Wu04806,22,We09415,63,Wu04806 x We09415,,18,175,65,2,3,,,,,62,
1404,WMARS,2015,,1,4,13,4,2,1,We01403,14,We08407,67,We01403 x We08407,,23,160,60,1,3,,,,,59,
1405,WMARS,2015,,1,4,13,5,4,31,We11407,13,We07403b,138,We11407 x We07403b,,17,150,50,1,3,,,,,57,
1406,WMARS,2015,,1,4,13,6,1,7,We05401,40,Wu10803R,54,We05401 x Wu10803R,,20,165,70,2,3,,,,,58,
1407,WMARS,2015,,1,4,13,7,4,26,We1095407-2,8,We05407,126,We1095407-2 x We05407,,19,150,60,3,3,,,,,56,
1408,WMARS,2015,,1,4,13,8,,,,,,143,Temptation,Check,22,150,60,2,3,,,,,58,
1409,WMARS,2015,,1,4,13,9,,,,,,14,We08407,,7,110,30,3,4,,,,,58,
1410,WMARS,2015,,1,4,13,10,1,3,We02406,17,We08413,42,We02406 x We08413,,9,150,60,1,3,,,,,64,
1411,WMARS,2015,,1,4,14,10,3,37,Wu04819,30,We11406,114,Wu04819 x We11406,,16,140,50,2,3,,,,,60,
1412,WMARS,2015,,1,4,14,9,4,31,We11407,21,We09404,139,We11407 x We09404,,15,130,50,3,3,,,,,60,
1413,WMARS,2015,,1,4,14,8,2,9,We05410,5,We03418b,71,We05410 x We03418b,,25,170,40,4,3,,,,,56,
1414,WMARS,2015,,1,4,14,7,,,,,,32,We11408,,17,120,50,4,4,,,,,62,
1415,WMARS,2015,,1,4,14,6,,,,,,40,Wu10803R,,13,130,60,2,3,,,,,62,
1416,WMARS,2015,,1,4,14,5,3,16,We08411,30,We11406,94,We08411 x We11406,,20,145,50,3,2,,,,,60,
1417,WMARS,2015,,1,4,14,4,,,,,,1,We01403,,2,110,45,1,3,,,,,66,
1418,WMARS,2015,,1,4,14,3,,,,,,24,We09423a,,11,125,35,2,2,,,,,58,
1419,WMARS,2015,,1,4,14,2,,,,,,27,We1095407-4,,20,170,95,2,2,,,,,,
1420,WMARS,2015,,1,4,14,1,,,,,,33,We11409,,12,140,55,3,3,,,,,64,
1421,WMARS,2015,,1,4,15,1,2,33,We11409,5,We03418b,86,We11409 x We03418b,,20,145,70,4,4,,,,,60,
1422,WMARS,2015,,1,4,15,2,,,,,,143,Temptation,,24,150,60,4,3,,,,,58,
1423,WMARS,2015,,1,4,15,3,,,,,,23,We09418,,15,100,30,4,4,,,,,60,
1424,WMARS,2015,,1,4,15,4,1,36,Wu04806,40,Wu10803R,64,Wu04806 x Wu10803R,,15,160,75,1,2,,,,,60,
1425,WMARS,2015,,1,4,15,5,,,,,,142,Who Gets Kissed?,Check,9,165,75,1,4,,,,,62,
1426,WMARS,2015,,1,4,15,6,,,,,,141,Ambrosia,Check,7,160,65,2,3,,,,,61,
1427,WMARS,2015,,1,4,15,7,,,,,,30,We11406,,10,100,35,3,2,,,,,64,
1428,WMARS,2015,,1,4,15,8,,,,,,25,We09426,,13,130,45,1,4,,,,,61,
1429,WMARS,2015,,1,4,15,9,,,,,,38,Wu07812,,10,120,40,1,3,,,,,64,
1430,WMARS,2015,,1,4,15,10,1,4,We03418a,32,We11408,50,We03418a x We11408,,10,140,50,4,1,,,,,62,
1431,WMARS,2015,,1,4,16,10,,,,,,19,We08421a,,13,115,50,3,3,,,,,65,
1432,WMARS,2015,,1,4,16,9,3,18,We08417,25,We09426,97,We08417 x We09426,,15,160,65,2,2,,,,,60,
1433,WMARS,2015,,1,4,16,8,2,1,We01403,34,We11416,70,We01403 x We11416,,22,175,80,1,3,,,,,60,
1434,WMARS,2015,,1,4,16,7,2,9,We05410,29,We11403,74,We05410 x We11403,,23,180,75,4,3,,,,,58,
1435,WMARS,2015,,1,4,16,6,1,38,Wu07812,22,We09415,58,Wu07812 x We09415,,20,165,65,1,3,,,,,60,
1436,WMARS,2015,,1,4,16,5,,,,,,4,We03418a,,2,90,30,4,4,,,,,64,
1437,WMARS,2015,,1,4,16,4,1,38,Wu07812,40,Wu10803R,59,Wu07812 x Wu10803R,,16,155,70,2,2,,,,,60,
1438,WMARS,2015,,1,4,16,3,3,23,We09418,25,We09426,107,We09418 x We09426,,19,130,45,4,3,,,,,59,
1501,WMARS,2015,,2,5,1,11,3,18,We08417,30,We11406,99,We08417 x We11406,,24,150,70,2,3,,,,,62,
1502,WMARS,2015,,2,5,1,12,,,,,,31,We11407,,3,115,35,3,3,,,,,62,
1503,WMARS,2015,,2,5,1,13,,,,,,12,We07403a,,16,120,35,1,2,,,,,,
1504,WMARS,2015,,2,5,1,14,3,37,Wu04819,25,We09426,112,Wu04819 x We09426,,16,155,50,1,4,,,,,60,
1505,WMARS,2015,,2,5,1,15,1,36,Wu04806,17,We08413,62,Wu04806 x We08413,,22,140,60,2,2,,,,,60,
1506,WMARS,2015,,2,5,1,16,2,9,We05410,34,We11416,75,We05410 x We11416,,25,170,60,2,3,,,,,59,
1507,WMARS,2015,,2,5,1,17,4,31,We11407,13,We07403b,138,We11407 x We07403b,,25,145,60,2,4,,,,,57,
1508,WMARS,2015,,2,5,1,18,2,9,We05410,19,We08421a,73,We05410 x We08421a,,22,150,65,3,4,,,,,56,
1509,WMARS,2015,,2,5,1,19,2,9,We05410,5,We03418b,71,We05410 x We03418b,,22,155,50,4,3,,,,,60,
1510,WMARS,2015,,2,5,1,20,2,15,We08408,5,We03418b,81,We08408 x We03418b,,18,150,50,4,2,,,,,60,
1511,WMARS,2015,,2,5,2,20,,,,,,35,We12401,,4,95,20,4,3,,,,,66,
1512,WMARS,2015,,2,5,2,19,2,15,We08408,19,We08421a,83,We08408 x We08421a,,24,150,50,3,1,,,,,62,
1513,WMARS,2015,,2,5,2,18,4,28,We11401,24,We09423a,135,We11401 x We09423a,,18,165,75,3,3,,,,,63,
1514,WMARS,2015,,2,5,2,17,3,16,We08411,35,We12401,95,We08411 x We12401,,20,145,60,3,2,,,,,60,
1515,WMARS,2015,,2,5,2,16,1,7,We05401,32,We11408,55,We05401 x We11408,,15,145,55,3,3,,,,,60,
1516,WMARS,2015,,2,5,2,15,,,,,,38,Wu07812,,10,145,55,1,3,,,,,63,
1517,WMARS,2015,,2,5,2,14,,,,,,7,We05401,,0,,,,,,,,,,
1518,WMARS,2015,,2,5,2,13,2,15,We08408,14,We08407,82,We08408 x We08407,,23,135,50,3,2,,,,,58,
1519,WMARS,2015,,2,5,2,12,2,12,We07403a,5,We03418b,76,We07403a x We03418b,,20,160,55,2,3,,,,,57,
1520,WMARS,2015,,2,5,2,11,,,,,,25,We09426,,16,115,45,2,4,,,,,62,
1521,WMARS,2015,,2,5,3,11,,,,,,143,Temptation,Check,18,150,65,3,3,,,,,58,
1522,WMARS,2015,,2,5,3,12,2,33,We11409,29,We11403,89,We11409 x We11403,,25,170,90,4,3,,,,,63,
1523,WMARS,2015,,2,5,3,13,2,15,We08408,34,We11416,85,We08408 x We11416,,21,160,75,1,3,,,,,58,
1524,WMARS,2015,,2,5,3,14,2,12,We07403a,34,We11416,80,We07403a x We11416,,22,160,65,1,2,,,,,60,
1525,WMARS,2015,,2,5,3,15,,,,,,142,Who Gets Kissed?,Check,9,145,70,3,4,,,,,62,
1526,WMARS,2015,,2,5,3,16,,,,,,141,Ambrosia,Check,9,155,55,4,3,,,,,64,
1527,WMARS,2015,,2,5,3,17,1,7,We05401,17,We08413,52,We05401 x We08413,,21,120,50,4,3,,,,,60,
1528,WMARS,2015,,2,5,3,18,4,31,We11407,21,We09404,139,We11407 x We09404,,11,140,55,4,3,,,,,62,
1529,WMARS,2015,,2,5,3,19,1,36,Wu04806,32,We11408,65,Wu04806 x We11408,,16,145,50,1,4,,,,,61,
1530,WMARS,2015,,2,5,3,20,2,12,We07403a,19,We08421a,78,We07403a x We08421a,,24,125,45,1,2,,,,,60,
1531,WMARS,2015,,2,5,4,20,,,,,,10,We06409b,,7,110,35,3,3,,,,,64,
1532,WMARS,2015,,2,5,4,19,1,3,We02406,32,We11408,45,We02406 x We11408,,10,155,70,4,4,,,,,66,
1533,WMARS,2015,,2,5,4,18,4,28,We11401,8,We05407,131,We11401 x We05407,,20,165,60,3,3,,,,,60,
1534,WMARS,2015,,2,5,4,17,3,20,We09403,30,We11406,104,We09403 x We11406,,20,150,60,2,3,,,,,60,
1535,WMARS,2015,,2,5,4,16,4,26,We1095407-2,24,We09423a,130,We1095407-2 x We09423a,,11,160,55,2,2,,,,,60,
1536,WMARS,2015,,2,5,4,15,4,2,We02402,13,We07403b,118,We02402 x We07403b,,21,155,60,1,2,,,,,63,
1537,WMARS,2015,,2,5,4,14,,,,,,29,We11403,,6,150,70,2,3,,,,,67,
1538,WMARS,2015,,2,5,4,13,3,16,We08411,30,We11406,94,We08411 x We11406,,20,150,45,2,2,,,,,60,
1601,WMARS,2015,,2,6,5,11,,,,,,30,We11406,,7,120,30,3,1,,,,,66,
1602,WMARS,2015,,2,6,5,12,1,36,Wu04806,6,We04401,61,Wu04806 x We04401,,20,150,50,2,3,,,,,61,
1603,WMARS,2015,,2,6,5,13,,,,,,32,We11408,,16,110,35,4,4,,,,,62,
1604,WMARS,2015,,2,6,5,14,2,1,We01403,14,We08407,67,We01403 x We08407,,22,170,45,4,4,,,,,60,
1605,WMARS,2015,,2,6,5,15,1,7,We05401,40,Wu10803R,54,We05401 x Wu10803R,,19,150,60,3,1,,,,,60,
1606,WMARS,2015,,2,6,5,16,4,26,We1095407-2,13,We07403b,128,We1095407-2 x We07403b,,21,155,60,1,2,,,,,60,
1607,WMARS,2015,,2,6,5,17,,,,,,143,Temptation,Check,22,150,50,3,4,,,,,59,
1608,WMARS,2015,,2,6,5,18,2,1,We01403,19,We08421a,68,We01403 x We08421a,,18,185,80,2,2,,,,,65,
1609,WMARS,2015,,2,6,5,19,2,12,We07403a,29,We11403,79,We07403a x We11403,,15,165,80,2,1,,,,,64,
1610,WMARS,2015,,2,6,5,20,1,7,We05401,6,We04401,51,We05401 x We04401,,23,120,45,3,3,,,,,60,
1611,WMARS,2015,,2,6,6,20,,,,,,11,We06410,,15,110,35,3,3,,,,,62,
1612,WMARS,2015,,2,6,6,19,,,,,,27,We1095407-4,,21,165,80,1,2,,,,,64,
1613,WMARS,2015,,2,6,6,18,,,,,,13,We07403b,,10,110,40,2,3,,,,,62,
1614,WMARS,2015,,2,6,6,17,,,,,,34,We11416,,11,135,50,1,4,,,,,64,
1615,WMARS,2015,,2,6,6,16,,,,,,22,We09415,,9,155,65,3,4,,,,,64,
1616,WMARS,2015,,2,6,6,15,3,23,We09418,25,We09426,107,We09418 x We09426,,18,145,45,4,3,,,,,59,
1617,WMARS,2015,,2,6,6,14,1,3,We02406,6,We04401,41,We02406 x We04401,,10,145,50,2,3,,,,,62,
1618,WMARS,2015,,2,6,6,13,4,31,We11407,8,We05407,136,We11407 x We05407,,19,125,45,3,4,,,,,57,
1619,WMARS,2015,,2,6,6,12,4,31,We11407,11,We06410,137,We11407 x We06410,,6,160,65,3,3,,,,,58,
1620,WMARS,2015,,2,6,6,11,4,26,We1095407-2,21,We09404,129,We1095407-2 x We09404,,21,175,40,2,4,,,,,60,
1621,WMARS,2015,,2,6,7,11,3,18,We08417,27,We1095407-4,98,We08417 x We1095407-4,,22,155,70,2,3,,,,,63,
1622,WMARS,2015,,2,6,7,12,3,37,Wu04819,27,We1095407-4,113,Wu04819 x We1095407-4,,23,175,75,1,3,,,,,61,
1623,WMARS,2015,,2,6,7,13,1,38,Wu07812,32,We11408,60,Wu07812 x We11408,,17,155,55,2,2,,,,,60,
1624,WMARS,2015,,2,6,7,14,4,2,We02402,24,We09423a,120,We02402 x We09423a,,21,175,70,1,2,,,,,60,
1625,WMARS,2015,,2,6,7,15,2,33,We11409,14,We08407,87,We11409 x We08407,,23,155,55,4,3,,,,,60,
1626,WMARS,2015,,2,6,7,16,,,,,,15,We08408,,20,120,30,3,3,,,,,61,
1627,WMARS,2015,,2,6,7,17,4,28,We11401,11,We06410,132,We11401 x We06410,,19,160,55,1,2,,,,,60,
1628,WMARS,2015,,2,6,7,18,2,33,We11409,34,We11416,90,We11409 x We11416,,20,165,75,1,4,,,,,63,
1629,WMARS,2015,,2,6,7,19,,,,,,2,We02402,,18,115,55,1,3,,,,,68,
1630,WMARS,2015,,2,6,7,20,4,2,We02402,8,We05407,116,We02402 x We05407,,24,145,55,2,2,,,,,60,
1631,WMARS,2015,,2,6,8,20,3,37,Wu04819,10,We06409b,111,Wu04819 x We06409b,,16,130,50,1,3,,,,,62,
1632,WMARS,2015,,2,6,8,19,1,4,We03418a,6,We04401,46,We03418a x We04401,,11,160,50,3,2,,,,,62,
1633,WMARS,2015,,2,6,8,18,,,,,,141,Ambrosia,Check,7,160,55,4,3,,,,,64,
1634,WMARS,2015,,2,6,8,17,2,9,We05410,29,We11403,74,We05410 x We11403,,19,180,70,4,3,,,,,61,
1635,WMARS,2015,,2,6,8,16,3,23,We09418,10,We06409b,106,We09418 x We06409b,,15,150,55,4,3,,,,,60,
1636,WMARS,2015,,2,6,8,15,3,37,Wu04819,30,We11406,114,Wu04819 x We11406,,20,145,60,2,3,,,,,60,
1637,WMARS,2015,,2,6,8,14,,,,,,142,Who Gets Kissed?,Check,12,160,50,3,4,,,,,64,
1638,WMARS,2015,,2,6,8,13,1,4,We03418a,17,We08413,47,We03418a x We08413,,19,165,65,3,2,,,,,61,
1701,WMARS,2015,,2,7,9,11,,,,,,1,We01403,,1,100,35,2,1,,,,,67,
1702,WMARS,2015,,2,7,9,12,1,38,Wu07812,6,We04401,56,Wu07812 x We04401,,21,150,65,2,3,,,,,59,
